_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
242,Child care,Mississauga,Complete,2024-01-21,Peel,Central,2000882,43.58028,-79.78923,21-Jan,0,1,0,0
243,Child care,Mississauga,Complete,2024-09-24,Peel,Central,1040060,43.5428,-79.6671,24-Sep,0,1,1,0
244,Child care,Mississauga,Complete,2024-09-19,Peel,Central,1916667,43.582942,-79.612441,19-Sep,0,1,0,0
245,Child care,Mississauga,Complete,2024-09-18,Peel,Central,250000,43.580365,-79.683704,18-Sep,0,1,0,0
246,Child care,Mississauga,Complete,2024-09-18,Peel,Central,500000,43.595282,-79.730439,18-Sep,0,1,0,0
248,Child care,Mississauga,Complete,2024-09-23,Peel,Central,1604472,43.61777,-79.66355,23-Sep,0,1,0,0
249,Child care,Mississauga,Complete,2024-09-23,Peel,Central,1604472,43.56934,-79.73301,23-Sep,0,1,0,0
250,Child care,New Tecumseth,Complete,2024-04-24,Simcoe,Central,3679552,44.16496,-79.86846,24-Apr,0,1,0,0
251,Child care,New Tecumseth,Complete,2024-01-24,Simcoe,Central,1289203,44.08114,-79.78196,24-Jan,0,1,0,0
252,Child care,Newmarket,Complete,2024-09-19,York,Central,2000000,44.069102,-79.476731,19-Sep,0,1,0,0
253,Child care,Niagara Falls,Complete,2024-09-17,Niagara,Central,259648,43.10604,-79.09921,17-Sep,0,1,0,0
254,Child care,Niagara Falls,Complete,2024-11-21,Niagara,Central,1979668,43.08062,-79.10751,21-Nov,0,1,0,1
255,Child care,Niagara-on-the-Lake,Complete,2024-09-18,Niagara,Central,515000,43.247309,-79.086946,18-Sep,0,1,0,0
256,Child care,North Bay,Complete,2024-09-18,Nipissing,Northeast,2989389,46.3298394,-79.4793134,18-Sep,0,1,0,0
257,Child care,North Bay,Complete,2024-01-20,Nipissing,Northeast,2399852,46.28934,-79.44714,20-Jan,0,1,0,0
258,Child care,North Bay,Complete,2024-05-19,Nipissing,Northeast,899945,46.31649,-79.46297,19-May,0,1,0,0
259,Child care,North Bay,Complete,2024-09-19,Nipissing,Northeast,1199926,46.32885,-79.43518,19-Sep,0,1,0,0
260,Child care,North Dundas,Complete,2024-09-22,"Stormont, Dundas and Glengarry",East,2035347,45.0901,-75.3532,22-Sep,0,1,0,1
