_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
1371,Health care,Under construction,12477700,0,1,0,1,43.65737,-79.387432,2025
1373,Health care,Planning,0,0,1,0,1,43.65367,-79.377729,2025
1374,Health care,Under construction,12066400,1,1,0,0,43.67781019,-79.41569899,2025
1375,Health care,Under construction,0,0,1,0,1,43.756193,-79.246939,2025
1376,Health care,Under construction,0,0,1,0,1,43.780398,-79.204549,2025
1378,Health care,Under construction,24645300,0,1,0,1,43.65737,-79.387432,2025
1380,Health care,Complete,18409700,0,1,0,0,43.6553757,-79.36928933,2025
1381,Health care,Planning,0,0,1,0,1,43.74085241,-79.23931666,2025
1382,Health care,Planning,0,0,1,0,1,43.67781019,-79.41569899,2025
1383,Health care,Under construction,104030100,0,1,0,1,43.64385513,-79.41759389,2025
1384,Health care,Planning,0,0,1,0,1,43.66714744,-79.48633067,2025
1385,Health care,Under construction,9639900,0,1,0,0,44.31259472,-77.79010818,2025
1386,Health care,Complete,1352636500,0,1,0,1,43.83562,-79.53245,2025
1387,Health care,Planning,0,0,1,0,0,44.46854103,-80.0757246,2025
1388,Health care,Complete,18496700,0,1,0,1,43.974446,-80.738127,2025
1389,Health care,Under construction,25042500,0,1,0,1,43.8479324,-78.9453908,2025
1390,Health care,Under construction,31142300,0,1,0,1,42.308328,-83.031589,2025
1393,Health care,Under construction,12247300,0,1,0,1,42.3017632,-82.99761452,2025
1394,Health care,Planning,0,0,1,0,1,43.12908925,-80.7562584,2025
1395,Health care,Planning,0,0,1,0,1,43.70931569,-79.51016477,2025
1396,Health care,Planning,0,0,1,0,1,44.0674951,-79.43019898,2025
1397,Communities,Complete,48750,0,1,1,1,42.935977,-82.416026,2025
1398,Communities,Complete,30000,0,1,1,1,42.935977,-82.416026,2025
1399,Communities,Complete,30000,0,1,1,1,42.935999,-82.415988,2025
1400,Communities,Complete,15570,0,1,1,1,42.935977,-82.416026,2025
1401,Communities,Complete,111884,1,1,1,0,44.078674,-79.935181,2025
1402,Communities,Complete,10500,1,1,1,0,45.535459,-76.925402,2025
1403,Communities,Complete,56250,1,1,1,0,43.884172,-79.003438,2025
1404,Communities,Complete,184500,1,1,1,0,43.878904,-79.031453,2025
1405,Communities,Complete,150000,1,1,1,0,43.832703,-78.992676,2025
1406,Communities,Complete,487500,1,1,1,0,43.835305,-79.034303,2025
1407,Communities,Complete,75000,1,1,1,0,43.836435,-78.994755,2025
1408,Communities,Complete,75000,1,1,1,0,43.835083,-78.997192,2025
1409,Communities,Complete,61875,1,1,1,0,43.850161,-79.053028,2025
1410,Communities,Complete,93750,1,1,1,0,43.876358,-79.032122,2025
1411,Communities,Complete,19923,0,1,1,1,44.182879,-78.06352,2025
1412,Communities,Planning,0,1,1,1,0,44.1729,-78.0852,2025
1413,Communities,Complete,710588,1,1,1,0,45.6401,-74.9429,2025
1414,Communities,Complete,75000,1,1,1,0,45.075123,-78.714084,2025
1415,Communities,Complete,105654,0,1,1,1,45.575671,-77.25098,2025
1416,Communities,Complete,62532,1,1,1,0,43.992025,-78.025416,2025
1417,Communities,Complete,5866666,1,1,1,0,42.096084,-83.110647,2025
1418,Communities,Complete,3737741,1,1,1,1,42.078026,-83.11795,2025
1421,Communities,Complete,42753,0,1,1,1,49.097745,-94.315207,2025
1422,Communities,Complete,17625,0,1,1,1,49.097745,-94.315207,2025
1423,Communities,Complete,24000,0,1,1,1,49.097745,-94.315207,2025
1424,Communities,Complete,2250,0,1,1,1,49.097745,-94.315207,2025
1426,Communities,Complete,18750,0,1,1,1,49.753298,-94.475816,2025
1427,Communities,Complete,37500,0,1,1,1,49.753298,-94.475816,2025
1428,Communities,Complete,61667,1,1,1,0,47.711149,-79.885225,2025
1429,Communities,Complete,13856,1,1,1,0,47.707251,-79.820288,2025
1430,Communities,Complete,9627,1,1,1,0,47.711149,-79.885225,2025
1431,Communities,Complete,23963,1,1,1,0,47.712832,-79.81999,2025
1432,Communities,Complete,783795,1,1,1,0,45.42907,-76.358715,2025
1434,Communities,Complete,49125,0,1,1,1,50.166667,-86.7,2025
1435,Communities,Complete,261461,1,1,1,0,44.2958,-81.0934,2025
1436,Communities,Complete,75000,1,1,1,0,43.8537,-81.5978,2025
1438,Communities,Complete,677432,1,1,1,0,44.382838,-77.980674,2025
1439,Communities,Complete,1522820,1,1,0,0,44.38057,-77.985049,2025
1440,Communities,Complete,63501,1,1,1,0,44.3827,-77.9809,2025
1441,Communities,Complete,76988,1,1,1,0,44.3832,-77.9819,2025
1442,Communities,Complete,720800,1,1,0,0,44.3801,-77.9765,2025
1443,Communities,Complete,88163,1,1,1,0,45.861,-81.8516,2025
1445,Communities,Complete,2888488,1,1,1,0,48.75622,-91.632316,2025
1446,Communities,Complete,1525500,1,1,0,0,48.75556,-91.62217,2025
1447,Communities,Complete,0,1,1,1,0,48.75563,-91.632807,2025
1450,Communities,Complete,5475,0,1,1,1,52.925885,-82.428892,2025
1451,Communities,Complete,9375,0,1,1,1,52.925885,-82.428892,2025
1452,Communities,Complete,99114,0,1,1,1,45.958157,-81.994708,2025
1453,Communities,Complete,750000,1,1,1,0,43.9779,-79.4724,2025
1454,Communities,Complete,112500,1,1,1,0,43.9822,-79.4656,2025
1455,Communities,Complete,56250,1,1,1,0,43.9965,-79.4512,2025
1456,Communities,Complete,225000,1,1,1,0,43.9982,-79.4641,2025
1457,Communities,Complete,689325,1,1,1,0,44.0031,-79.479,2025
1458,Communities,Complete,375000,1,1,1,0,43.9965,-79.4512,2025
1459,Communities,Complete,611327,1,1,1,0,42.772783,-80.984045,2025
1460,Communities,Complete,1476594,1,1,0,0,42.772716,-80.975679,2025
1461,Communities,Complete,75000,1,1,1,0,46.312967,-81.749889,2025
1462,Communities,Complete,75000,1,1,1,0,45.061715,-77.854688,2025
1463,Communities,Complete,122562,1,1,1,0,45.061715,-77.854688,2025
1464,Communities,Complete,2000000,1,1,0,0,45.072612,-77.834831,2025
1465,Communities,Complete,4070421,1,1,1,1,44.371239,-79.692138,2025
1466,Communities,Complete,262500,1,1,1,0,44.389063,-79.687792,2025
1467,Communities,Complete,8154579,1,1,1,1,44.372963,-79.655152,2025
1468,Communities,Complete,339750,1,1,1,1,44.353681,-79.697688,2025
1469,Communities,Complete,1350000,1,1,1,1,44.389356,-79.690332,2025
1471,Communities,Complete,46500,0,1,1,1,46.551549,-84.292434,2025
1472,Communities,Complete,88793,1,1,1,0,42.643739,-80.806821,2025
1473,Communities,Complete,234114,1,1,1,0,42.643739,-80.806821,2025
1474,Communities,Complete,1353982,1,1,0,0,42.764026,-80.844632,2025
1475,Communities,Complete,93989,0,1,1,1,44.82134,-80.174751,2025
1476,Communities,Complete,22500,0,1,1,1,44.82134,-80.174751,2025
1477,Communities,Complete,2812500,1,1,1,0,44.172976,-77.385229,2025
1478,Communities,Complete,2146625,1,1,1,0,44.166326,-77.389877,2025
